 #Rezultati simulacije Monte Carlo pri tlaku P = 1.00
         #    T            rho           srho              U             sU              H             sH             cp            scp              k             sk              a             sa             %x             %V
       0.050000       0.442158       0.013656    -128.908500      10.184186      97.456758       5.336061       4.658147       4.957218       0.087391       0.035413      -0.656039       1.092578       0.049201       0.216451
       0.100000       0.409131       0.017443    -156.209526      13.336833      88.664807       4.138226       3.974291       5.706507       0.453341       0.813163      -1.775789       4.215620       0.108768       0.331654
       0.150000       0.356929       0.030383    -208.308014      28.334443      73.616966       6.796222       2.895465       2.617039       0.527257       0.617484      -1.039612       1.610118       0.196895       0.461921
       0.200000       0.339503       0.014181    -223.015161      16.153508      72.035675       3.587512       1.552850       0.798411       0.124777       0.071184      -0.050954       0.278617       0.266293       0.541898
       0.250000       0.321961       0.016034    -239.779829      18.911243      71.530811       4.347138       1.470192       0.941645       0.190714       0.186618      -0.045406       0.269072       0.332500       0.606603
       0.300000       0.310460       0.002223    -247.952599       2.035823      74.221982       1.868361       1.507283       0.982841       0.186177       0.246562      -0.098451       0.486899       0.387993       0.656072
       0.350000       0.309916       0.002148    -242.762194       3.592917      79.967120       2.624264       1.347036       0.180856       0.133841       0.103611       0.020205       0.102967       0.424040       0.683477
       0.400000       0.311184       0.003644    -234.662110       7.731409      86.793246       4.280425       1.587153       0.327329       0.157351       0.104045      -0.008889       0.109617       0.454657       0.703804
       0.450000       0.315346       0.004705    -217.088585      10.469106     100.158273       5.708746       1.980010       0.174122       0.157780       0.050587       0.035524       0.042457       0.479019       0.718886
       0.500000       0.317875       0.001350    -196.338663       4.268088     118.380894       3.050108       4.389265       0.981064       0.250360       0.057990      -0.232388       0.180736       0.507806       0.736277
       0.550000       0.321128       0.000579    -173.808199       1.106058     137.757619       0.642762       3.195694       0.218349       0.294462       0.019070      -0.183667       0.024078       0.535453       0.752500
       0.600000       0.323803       0.000538    -158.028972       1.112529     151.001561       0.662090       2.134320       0.111113       0.331648       0.020901      -0.107692       0.020868       0.557855       0.764920
       0.650000       0.325773       0.000514    -146.162434       0.769537     161.025799       0.413845       1.797359       0.085770       0.346186       0.010555      -0.057297       0.015991       0.577243       0.775749
       0.700000       0.326381       0.000576    -137.138658       0.649759     169.501595       0.204945       1.640742       0.068171       0.354808       0.015335      -0.018244       0.015604       0.595643       0.786487
       0.750000       0.326223       0.000587    -129.313846       0.797744     177.487380       0.372615       1.531778       0.058046       0.347582       0.017007       0.014460       0.021622       0.612547       0.795791
       0.800000       0.325884       0.000427    -122.441441       0.364593     184.699694       0.207310       1.434856       0.036690       0.353616       0.016181       0.043533       0.015698       0.627804       0.804416
       0.850000       0.325081       0.000471    -116.080258       0.747635     191.837224       0.538160       1.364386       0.031364       0.353759       0.007813       0.059744       0.013726       0.642389       0.812518
       0.900000       0.324157       0.000463    -110.341935       0.613077     198.470679       0.268602       1.303797       0.045604       0.353600       0.017251       0.076149       0.011971       0.655706       0.819604
       0.950000       0.322465       0.000449    -105.360681       0.470123     205.094154       0.434692       1.286539       0.028525       0.361519       0.018296       0.096345       0.009920       0.668488       0.827339
       1.000000       0.320886       0.000401    -100.786148       0.739270     211.213098       0.466166       1.269764       0.053959       0.361622       0.012072       0.118150       0.011027       0.680057       0.833190
       1.050000       0.318866       0.000413     -96.584920       0.338635     217.403135       0.372160       1.216625       0.044412       0.358213       0.023749       0.120009       0.009341       0.691086       0.840797
       1.100000       0.316805       0.000613     -92.569704       0.358647     223.486729       0.434321       1.184899       0.031535       0.367162       0.018554       0.136013       0.009586       0.701169       0.846323
       1.150000       0.315045       0.000819     -88.598748       0.455530     229.247541       0.636424       1.159736       0.033703       0.374140       0.014668       0.140179       0.011047       0.710895       0.851699
       1.200000       0.312415       0.000467     -85.370211       0.504200     235.155555       0.412585       1.166713       0.036784       0.365467       0.006983       0.150783       0.005909       0.720037       0.856354
       1.250000       0.310155       0.000586     -82.101911       0.405930     240.792904       0.400201       1.133381       0.036349       0.380457       0.015640       0.157727       0.010864       0.728641       0.861225
       1.300000       0.307608       0.000534     -79.037798       0.379513     246.554014       0.509669       1.133932       0.037575       0.386876       0.018299       0.163452       0.009478       0.736550       0.866152
       1.350000       0.305094       0.000674     -76.066463       0.653397     252.237910       0.522748       1.143522       0.037309       0.396462       0.010832       0.174457       0.009120       0.744184       0.871259
       1.400000       0.302787       0.000556     -72.968758       0.495155     257.858662       0.462026       1.134333       0.050574       0.401311       0.028712       0.175871       0.015730       0.751514       0.874209
       1.450000       0.299468       0.000773     -70.730179       0.430812     263.763676       0.903276       1.097749       0.034600       0.390315       0.023768       0.172252       0.011589       0.758358       0.878802
       1.500000       0.297135       0.000531     -68.294581       0.370810     268.867474       0.365966       1.119695       0.035597       0.410075       0.023486       0.184621       0.009223       0.765271       0.882094
