 #Rezultati simulacije Monte Carlo pri temperaturi T = 1.00
       #    Rho              U             sU             cv            scv              D             sD              P             sP              t              %
       0.050000     -36.484305       1.173250       0.301541       0.019112   16402.587465    1455.844097       0.045519       0.000373       0.543146       0.954598
       0.100000     -65.191695       0.757797       0.506507       0.014750   12771.989766    1296.141619       0.090132       0.001143       0.732295       0.927993
       0.150000     -89.949015       0.707444       0.652956       0.028993   10511.743803    1049.563229       0.145902       0.002764       0.884990       0.907563
       0.200000    -112.004320       0.459310       0.895484       0.052929    7747.930283     684.374557       0.240937       0.002911       1.025615       0.887716
       0.250000    -125.605856       0.956248       1.199509       0.052378    6430.636835     730.470039       0.444361       0.004418       1.157677       0.865735
       0.300000    -113.743794       0.448142       1.234928       0.056324    5647.317289     390.264308       0.816801       0.003817       1.171644       0.841272
       0.350000     -79.668152       0.695893       0.959796       0.041249    6344.557071     466.371845       1.247167       0.004526       1.083218       0.813965
       0.400000     -44.000909       0.336714       0.784826       0.031324    5978.785934     293.796458       1.653061       0.006301       1.072068       0.784238
       0.450000     -13.529693       0.273091       0.779929       0.028555    5688.656110     405.141899       2.069049       0.007459       1.114799       0.752789
       0.500000      13.002695       0.286552       0.854298       0.034459    5174.762220     436.510807       2.553261       0.009265       1.196718       0.720736
       0.550000      39.167757       0.458836       0.981338       0.051948    4430.118044     217.160111       3.142987       0.009515       1.296706       0.688106
       0.600000      67.513474       0.342113       1.025356       0.043874    3608.982417     313.064872       3.834975       0.016436       1.411402       0.655691
       0.650000      98.428390       0.446679       0.970078       0.039136    3293.283807     237.912155       4.532475       0.008390       1.525174       0.624918
       0.700000     127.639585       0.288263       0.907059       0.017129    2850.962910     321.366677       5.211080       0.015780       1.672302       0.595562
       0.750000     152.924373       0.418806       0.884427       0.037029    2144.841617     289.937782       5.856806       0.026686       1.853288       0.568350
       0.800000     170.256507       0.731147       0.943459       0.038302    1461.802956     161.422628       6.315545       0.025515       2.139970       0.544355
       0.850000     166.094578       6.676510       1.327185       0.352864     483.532432      70.015302       6.558849       0.572868       2.830885       0.519777
       0.900000     167.112617       3.760722       0.740532       0.073332     139.780365      69.773210       6.793594       0.751097       3.243258       0.500297
       0.950000     179.043656       5.167914       0.751351       0.059555      67.987995      34.894077      10.977954       0.490243       3.439546       0.434173
       1.000000     211.794464       5.896767       0.753029       0.017237      57.341703      42.808065      17.928355       0.094174       3.615968       0.353233
