 #Rezultati simulacije Molekulske dinamike pri temperaturi T = 2.50
       #    Rho              U             sU             cv            scv              D             sD              P             sP              t
       0.100000     -27.012281       1.166531       0.128516       0.012094 1295987.425526   40239.322957       0.284640       0.000883       0.481294
       0.150000     -35.115874       0.588877       0.192706       0.011819  824055.509858   48108.598451       0.474770       0.002729       0.568605
       0.200000     -38.107646       1.174426       0.248495       0.009789  607255.209649   52943.173643       0.721547       0.003878       0.632446
       0.250000     -34.151243       1.288215       0.289774       0.028752  489002.356751   24684.043163       1.049920       0.007127       0.676623
       0.300000     -19.657278       0.752361       0.309825       0.020621  392641.703081   18448.979487       1.489376       0.006140       0.691130
       0.350000      -0.331569       1.016044       0.287551       0.013615  354464.916328   35396.409131       2.024952       0.012682       0.729867
       0.400000      25.044877       0.392218       0.269519       0.027168  324020.598075   36881.410517       2.669606       0.012330       0.777547
       0.450000      53.991435       0.497381       0.271089       0.011188  267096.449742   33622.562196       3.424252       0.013058       0.833782
       0.500000      83.510805       0.746792       0.255995       0.017133  219138.821288   15191.359495       4.282594       0.025292       0.900911
       0.550000     114.794161       0.810768       0.288953       0.011257  200601.617037   10948.086960       5.305501       0.029128       0.973977
       0.600000     143.911978       1.278350       0.285688       0.022394  158974.026710   12121.070546       6.399672       0.035763       1.079546
       0.650000     174.509158       0.877902       0.313023       0.020419  139059.602619    9671.415208       7.697419       0.036404       1.189052
       0.700000     202.512436       0.834288       0.317533       0.013065  117595.829447   14327.487871       9.170176       0.046305       1.320822
       0.750000     228.558168       0.938860       0.346031       0.014581   85936.915925    5239.539409      10.788531       0.090843       1.463144
       0.800000     252.178918       0.932618       0.392159       0.031768   61947.872587    4851.339742      12.927283       0.063908       1.640685
       0.850000     272.042625       1.751707       0.448351       0.023114   38216.674358    3797.024019      15.543734       0.182390       1.865432
       0.900000     286.309473       1.986455       0.661884       0.099997   18953.848955    2184.680868      18.802524       0.214399       2.171387
       0.950000     281.451945       4.007211       0.730458       0.070491    2844.331464     911.231465      21.907544       0.385554       2.747976
       1.000000     315.654451       5.110671       0.653339       0.026101    1403.703696     275.749283      30.073577       0.221212       3.074290
